Nodos AristasExistentes Tiempo
18 64 22979
18 72 26213
18 85 26056
18 81 25538
18 75 43470
18 78 25558
18 70 24531
18 75 25057
18 72 44216
18 73 24720
18 68 24568
18 65 25410
18 76 25009
18 60 23898
18 75 24852
18 58 23778
18 57 42435
18 69 24775
18 78 25104
18 84 25547
18 65 24389
18 83 25337
18 55 23855
18 73 24710
18 68 24566
18 77 25506
18 75 24958
18 68 24486
18 74 23044
18 72 23300
18 67 22411
18 66 22233
18 64 23144
18 69 23180
18 83 23384
18 78 46273
18 79 23084
18 72 22777
18 71 22527
18 67 22371
18 81 23503
18 80 23203
18 70 22430
18 75 22943
18 68 22507
18 75 23010
18 69 24709
18 62 22154
18 81 23169
18 66 22890
18 74 23289
18 79 50304
18 81 25372
18 69 24903
18 59 21442
18 69 22967
18 67 23348
18 67 22795
19 68 23170
19 72 23867
19 77 24212
19 64 22846
19 78 24102
19 66 66437
19 69 104094
19 72 26028
19 83 27250
19 70 24875
19 69 25429
19 72 25049
19 72 27757
19 73 27196
19 72 26651
19 81 25781
19 75 25482
19 69 24340
19 66 26923
19 67 26316
19 75 25010
19 72 24769
19 69 24431
19 69 24674
19 66 26521
19 81 25268
19 68 24199
19 72 25119
19 74 25220
19 58 25981
19 61 23971
19 73 24925
19 76 25102
19 71 24552
19 81 25319
19 74 42919
19 76 24964
19 66 99215
19 61 24435
19 69 24271
19 57 23899
19 76 27008
19 79 25259
19 62 23815
19 69 24817
19 70 24716
19 79 25446
19 75 24819
19 73 24776
19 64 23897
19 77 24896
19 80 25075
19 76 25071
19 78 24814
19 76 24852
19 70 26057
19 74 24770
19 78 24726
19 67 24285
19 67 24533
19 63 26032
19 66 24163
19 70 28049
19 68 26479
19 80 24887
19 69 24595
19 78 39571
19 74 24926
19 72 22661
19 69 24927
19 72 26365
19 71 24772
19 63 25241
19 77 16365
19 79 25669
19 67 24695
19 59 24126
19 89 39737
19 69 26747
19 74 25136
19 87 26004
19 67 53874
19 69 38974
19 58 25931
19 66 54955
19 65 25460
19 74 25871
19 63 24950
19 68 26517
19 71 25310
19 63 26062
19 75 25653
19 75 25265
19 68 24976
19 63 33471
19 68 31133
19 73 24714
19 68 102264
19 76 25383
19 75 27184
20 52 28489
20 51 30520
20 47 26509
20 50 31479
20 46 27119
20 48 27253
20 45 27036
20 46 25957
20 44 25853
20 46 27046
20 41 30721
20 42 27274
20 47 27298
20 51 27780
20 48 26513
20 40 30549
20 41 26566
20 47 27338
20 51 26678
20 37 31479
20 44 45677
20 42 26684
20 37 26851
20 42 28246
20 43 25654
20 48 26617
20 40 100933
20 38 31373
20 45 26744
20 52 26806
20 44 26878
20 45 36014
20 45 28381
20 51 26959
20 51 26214
20 48 27961
20 51 26600
20 49 25958
20 47 27621
20 50 26417
20 43 31351
20 42 46263
20 49 26998
20 48 27032
20 55 26757
20 48 26544
20 51 25647
20 52 27044
20 43 27103
20 38 30650
20 53 27611
20 45 30863
20 47 28035
20 49 26730
20 49 29533
20 40 32139
20 48 26746
20 39 26358
20 44 30003
20 42 26539
20 31 30564
20 42 30253
20 37 31073
20 43 26977
20 47 27378
20 45 27504
20 61 36872
20 42 34584
20 44 32942
20 44 26589
20 48 26568
20 43 26150
20 41 26419
20 45 27788
20 44 26617
20 44 26291
20 53 26437
20 43 32231
20 51 27704
20 49 50072
20 42 27606
20 41 11953
20 48 49548
20 43 29927
20 50 27240
20 40 26751
20 46 26199
20 44 25870
20 43 26077
20 45 25782
20 46 26302
20 49 27281
20 50 26600
20 45 27053
20 46 26750
20 45 25733
20 42 26746
20 57 27136
20 38 29934
20 46 28368
21 54 26399
21 57 23941
21 69 24861
21 65 25146
21 64 25056
21 67 25522
21 59 27334
21 56 24448
21 68 39614
21 66 25364
21 62 101983
21 68 27302
21 69 25307
21 60 24939
21 66 27102
21 64 47161
21 60 27544
21 67 24911
21 63 24737
21 64 24783
21 70 25090
21 60 27219
21 68 25183
21 66 24688
21 72 27018
21 68 25241
21 56 26500
21 60 27182
21 68 25273
21 63 27149
21 60 45086
21 65 25979
21 68 25445
21 51 28048
21 63 24991
21 67 25061
21 68 27561
21 56 27644
21 60 24851
21 64 24689
21 59 190592
21 69 25165
21 72 25627
21 67 25010
21 72 25593
21 70 25475
21 66 25106
21 65 24925
21 59 24535
21 66 25525
21 57 24410
21 71 25419
21 58 24929
21 58 26872
21 60 27154
21 64 25485
21 70 25264
21 58 27044
21 69 25177
21 55 31760
21 60 39664
21 70 27152
21 67 27365
21 63 27349
21 70 25554
21 63 25260
21 55 46092
21 62 27895
21 59 104651
21 55 26283
21 64 32133
21 45 28352
21 64 27861
21 59 25039
21 68 27644
21 61 24842
21 63 27270
21 53 26765
21 51 26380
21 57 26952
21 69 25307
21 58 27436
21 68 27485
21 57 24506
21 60 25598
21 55 24512
21 66 25240
21 63 27349
21 65 26173
21 66 25248
21 57 24409
21 60 27616
21 57 28267
21 69 25263
21 56 28387
21 57 24708
21 67 45051
21 71 25057
21 67 23710
21 61 27658
22 64 27608
22 57 28243
22 61 27875
22 57 28197
22 57 29684
22 58 27094
22 57 26918
22 63 27437
22 68 31097
22 71 27593
22 63 26762
22 64 27010
22 61 26490
22 65 27077
22 61 28533
22 61 27811
22 62 27814
22 67 27767
22 52 28059
22 53 28867
22 57 26931
22 67 27118
22 59 26988
22 64 28543
22 64 44358
22 64 27260
22 58 102049
22 67 46020
22 72 27707
22 66 27998
22 56 27918
22 56 26992
22 71 45071
22 61 27365
22 65 51510
22 64 29032
22 67 28199
22 59 28220
22 63 27360
22 64 27980
22 75 27714
22 65 60186
22 65 28667
22 64 27521
22 75 27685
22 69 27215
22 51 27682
22 70 27794
22 67 45350
22 69 27744
22 67 28380
22 76 28153
22 54 28081
22 65 26969
22 57 8806
22 55 28500
22 52 27210
22 60 28355
22 61 45939
22 55 27276
22 62 28215
22 66 28196
22 68 27109
22 72 27693
22 64 27144
22 63 27087
22 59 27041
22 70 27670
22 61 27062
22 66 27453
22 60 37170
22 69 25922
22 46 47443
22 65 25461
22 57 25294
22 62 24858
22 69 24930
22 59 25916
22 64 27914
22 68 26012
22 69 25739
22 68 25636
22 62 25258
22 57 119642
22 58 24925
